MD	GR	DTCO	PHIE	RHOB	DTS	WELL
5269.394	22.427032471	66.849464417	0.1382216513	2.4809505939	118.06300354	Well_9
5269.594	23.7903862	66.182022095	0.1394339502	2.5124938488	117.12819672	Well_9
5269.794	23.092952728	66.246337891	0.1393284351	2.518048048	116.97399902	Well_9
5269.994	21.492391586	66.837211609	0.143272981	2.4658064842	117.13860321	Well_9
5270.194	20.456140518	67.897705078	0.1558412015	2.4258358479	117.94210052	Well_9
5270.394	19.239748001	69.607955933	0.1618088037	2.4244921207	119.42299652	Well_9
5270.594	17.488435745	69.621505737	0.160869509	2.4340360165	121.06659698	Well_9
5270.794	16.061563492	68.398208618	0.1588441432	2.4397213459	123.21179962	Well_9
5270.994	14.883016586	67.853515625	0.1594186425	2.4373157024	123.7338028	Well_9
5271.194	14.319774628	67.859054565	0.1627342105	2.4329497814	123.77829742	Well_9
5271.394	13.979299545	68.304130554	0.1619305164	2.4310400486	123.95300293	Well_9
5271.594	13.092250824	68.894546509	0.1612181067	2.4278826714	124.09719849	Well_9
5271.794	12.324227333	69.352012634	0.1634324491	2.4167761803	124.375	Well_9
5271.994	12.876886368	69.602508545	0.1657015681	2.4117822647	124.89640045	Well_9
5272.194	14.014704704	69.80242157	0.1652015746	2.414065361	125.61450195	Well_9
5272.394	14.277966499	69.544776917	0.1629403085	2.413443327	126.03160095	Well_9
5272.594	15.268203735	68.867980957	0.1600054651	2.4240920544	125.76629639	Well_9
5272.794	17.642786026	68.547607422	0.1583331674	2.4372172356	124.97969818	Well_9
5272.994	22.210309982	68.902885437	0.1608970761	2.4365942478	124.35579681	Well_9
5273.194	26.054389954	69.909629822	0.1649895608	2.4430301189	123.59049988	Well_9
5273.394	25.454107285	70.919212341	0.169366315	2.4573016167	122.37460327	Well_9
5273.594	26.368299484	71.358070374	0.1723516136	2.4519088268	122.20770264	Well_9
5273.794	27.147647858	71.231407166	0.1743754447	2.4206278324	122.72669983	Well_9
5273.994	24.060613632	70.555221558	0.1800106168	2.3992040157	123.63619995	Well_9
5274.194	21.532133102	69.625686646	0.1836142838	2.3825471401	124.37129974	Well_9
5274.394	20.359254837	69.426437378	0.1817243248	2.3826494217	124.49089813	Well_9
5274.594	18.736465454	69.700843811	0.1842056811	2.4088976383	124.7736969	Well_9
5274.794	16.227355957	70.273178101	0.1947819442	2.3776168823	125.38189697	Well_9
5274.994	15.654099464	71.418960571	0.2028488368	2.3175425529	126.64150238	Well_9
5275.194	15.11037159	73.073577881	0.2038360089	2.3047165871	129.04969788	Well_9
5275.394	14.336531639	73.873199463	0.2039150894	2.3106691837	131.67379761	Well_9
5275.594	15.519413948	73.942199707	0.2025792301	2.309907198	133.65289307	Well_9
5275.794	16.359491348	73.957107544	0.2006736249	2.3131370544	134.81889343	Well_9
5275.994	14.69370842	73.653778076	0.201044783	2.3276283741	135.16149902	Well_9
5276.194	13.439842224	72.796073914	0.199600324	2.3413817883	135.08399963	Well_9
5276.394	13.064208984	71.655532837	0.1946384013	2.3423244953	134.1678009	Well_9
5276.594	12.662981987	70.483673096	0.1865476221	2.3348493576	132.8795929	Well_9
5276.794	12.898499489	69.456214905	0.1768319309	2.363363266	130.88699341	Well_9
5276.994	14.489758492	68.693634033	0.1655807495	2.4133999348	128.50639343	Well_9
5277.194	15.593093872	68.338432312	0.1551094502	2.4213340282	126.80249786	Well_9
5277.394	17.745306015	68.13142395	0.1504521966	2.4211809635	125.22200012	Well_9
5277.594	20.685340881	68.300796509	0.1519827396	2.4168322086	124.24130249	Well_9
5277.794	22.471126556	68.920944214	0.1555165499	2.406639576	124.03209686	Well_9
5277.994	23.598503113	69.738807678	0.1657464206	2.4028868675	124.44960022	Well_9
5278.194	24.683486938	71.002845764	0.1784021109	2.3995251656	125.47170258	Well_9
5278.394	26.746536255	72.233032227	0.1868014932	2.3905727863	126.66860199	Well_9
5278.594	28.940612793	72.766548157	0.1928119063	2.3761627674	127.46450043	Well_9
5278.794	28.82582283	72.839477539	0.1958052814	2.3725070953	128.1697998	Well_9
5278.994	28.121383667	72.692474365	0.1927993298	2.376513958	128.46910095	Well_9
5279.194	26.652353287	72.670188904	0.1842643172	2.3803434372	128.55780029	Well_9
5279.394	25.237409592	72.714500427	0.1727118492	2.3742647171	128.81149292	Well_9
5279.594	27.833366394	72.893577576	0.1649692208	2.3832964897	128.84480286	Well_9
5279.794	31.092453003	72.969947815	0.1598729044	2.4002342224	128.76080322	Well_9
5279.994	28.154993057	72.556411743	0.1568998843	2.3933944702	128.48599243	Well_9
5280.194	26.596416473	71.657142639	0.1568310112	2.3966593742	128.52459717	Well_9
5280.394	25.118217468	71.46395874	0.1543337852	2.4074368477	128.61480713	Well_9
